"electorate","constituency_code","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","candidate_gender","party_name_dari","party_eng_transliterated","party_eng_translated","registered_party_number","preliminary_winner","final_winner","past_winners","prelim_winner_2010","final_winner_2010","past_winners_matched_to_2010_codes","final_winner_2005","past_winners_matched_to_2005_codes"
"General","G-01","1-1550-1074",20,"Sayed Mahmood Zia Dashti","سید محمود ضیا دشتی","سید محمود ضیا دشتی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1681-51",21,"Gharibullah Tabesh","غریب الله تابش","غریب الله تابش","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1752-137",22,"Alhaj Mohammad Mosadeq Muqset","الحاج محمد مصدق مقسط","الحاج محمد مصدق مقسط","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1364-1092",23,"Arian Khaibar","آرین خیبر ","آرین خیبر ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1825-107",24,"Armaghan Samkanai","ارمغان څمکنی","ارمغان څمکنی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1198-97",25,"Mawalawi Ihsanulhaq Hanafi","مولوی احسان الحق حنفی","مولوی احسان الحق حنفی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1674-1093",26,"Mohammad Shafiq Haqyar","محمد شفیق حقیار","محمد شفیق حقیار","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1415-1169",27,"Mohammad Qayoum Khostwal","محمد قیوم خوستوال ","محمد قیوم خوستوال ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1058-169",28,"Assadullah Batori","اسد الله باتوری","اسد الله باتوری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1400-15",29,"Shayesta Saleh","شایسته صالح","شایسته صالح","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1250-67",30,"Alhaj Habibullah Ahmadzai","الحاج حبیب الله احمدزی ","الحاج حبیب الله احمدزی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1046-55",31,"Razia Arefi","راضیه عارفی ","راضیه عارفی ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1654-131",32,"Sayed Mohammad Sayeedi","سید محمد سعیدی","سید محمد سعیدی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1605-38",33,"Khan Ali Radmand","خانعلی رادمند","خانعلی رادمند","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1537-14",34,"Ahmad Jawid Jaihon","احمد جاوید جیحون","احمد جاوید جیحون","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1778-156",35,"Ahmad Hamed Warasta","احمد حامد وارسته","احمد حامد وارسته","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1764-1156",36,"Karimullah Jawad","کریم الله جواد ","کریم الله جواد ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1148-170",37,"Mohammad Nayem Paiman","محمد نعیم پیمان ","محمد نعیم پیمان ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1482-148",38,"Eng. Mohammad Dawood Yousufzai","انجنیر محمد داود یوسفزی","انجنیر محمد داود یوسفزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1716-150",39,"Rahela Jafari","راحله جعفری ","راحله جعفری ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1407-113",40,"Abida Homa Azizi","عابده هما عزیزی","عابده هما عزیزی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1645-1024",41,"Dr. Mohammadullah Shahidi","داکتر محمد الله شهیدی","داکتر محمد الله شهیدی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1454-123",42,"Ahmad Behzad","احمد بهزاد ","احمد بهزاد ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO","Yes","Yes","Yes",3581333,"Yes","24-31-0005"
"General","G-01","1-1458-117",43,"Abdul Qadir Sadeqyar","عبد القدیر صادقیار","عبد القدیر صادقیار","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1388-1192",44,"Mariam Maroof Arwin","مریم معروف آروین ","مریم معروف آروین ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1188-22",45,"Alhaj Amirgull Shahin","الحاج امیرگل شاهین ","الحاج امیرگل شاهین ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1595-90",46,"Haji Homayoun Bahar","حاجی همایون بهار","حاجی همایون بهار","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1161-126",47,"Muzamel Shinwari","مزمل شینواری","مزمل شینواری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1538-13",48,"Frozan Dawoodzai","فروزان داوودزی","فروزان داوودزی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1073-8",49,"Alhaj Mohammad Qasim Jangalbagh","الحاج محمد قسیم جنگل باغ","الحاج محمد قسیم جنگل باغ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1555-33",50,"Abdul Rahim Ayoubi","عبدالرحیم ایوبی","عبدالرحیم ایوبی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO","Yes","Yes","Yes",4556370,NA,NA
"General","G-01","1-1234-1",51,"Sayed Bahram Sadat","سید بهرام سادات","سید بهرام سادات","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1524-2026",52,"Mohammad Dawood Naji","محمد داود ناجی","محمد داود ناجی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1438-254",53,"Gen. Abdul Wahed Taqat","جنرال عبدالواحد طاقت","جنرال عبدالواحد طاقت","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1710-163",54,"Abdul Basir Khalili Yousufzai","عبدالبصیر خلیلی یوسفزی","عبدالبصیر خلیلی یوسفزی","M",NA,NA,NA,NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1310-37",55,"Mohammad Lais Andar","محمدلیث اندړ","محمدلیث اندړ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1896-158",56,"Mohammad Shoaib Iqbal Zazai","محمد شعیب اقبال ځاځی","محمد شعیب اقبال ځاځی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1050-42",57,"Nasrullah Mesbah","نصرالله مصباح","نصرالله مصباح","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1270-20",58,"Mohammad Anwar Allah Daad","محمد انور الله داد ","محمد انور الله داد ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1276-40",59,"Alhaj Qudratullah Sahak","الحاج قدرت الله سهاک","الحاج قدرت الله سهاک","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1648-1078",60,"Salman Ali Dostzadah","سلمان علی دوست زاده","سلمان علی دوست زاده","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1567-23",61,"Mohammad Layeq Malekzadah","محمد لایق ملک زاده","محمد لایق ملک زاده","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1225-123",62,"Ziaullhaq Shafiq","ضیأالحق شفیق","ضیأالحق شفیق","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1719-1162",63,"Enjila Bafaiz","انجیلا با فیض ","انجیلا با فیض ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1336-22",64,"Ghullam Habib Fawad","غلام حبیب فواد","غلام حبیب فواد","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1789-142",65,"Dr. Moen Gull Samkanai","دوکتور معین گل څمکنی","دوکتور معین گل څمکنی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1838-192",66,"Mohammad Hassan Mamozai","محمد حسن مموزی","محمد حسن مموزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO","Yes","Yes","Yes",7767635,NA,NA
"General","G-01","1-1799-160",67,"Abdul Wahed Khan Nasratyar","عبدالواحد خان نصرتیار","عبدالواحد خان نصرتیار","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1566-58",68,"Mohammad Yar Stanikzai","محمد یار ستانکزی ","محمد یار ستانکزی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1480-52",69,"Alhaj Farid Khan Zurmati","الحاج فرید خان زرمتی","الحاج فرید خان زرمتی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1339-28",70,"Deplom Eng. Ghullam Ali","دیپلوم انجنیرغلام علی","دیپلوم انجنیرغلام علی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1300-41",71,"Sayed Burhan Sayed Jamal Taheri","سید برهان سید جمال طاهری","سید برهان سید جمال طاهری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1275-46",72,"Abdul Basir Nabizadah","عبدالبصیر نبی زاده ","عبدالبصیر نبی زاده ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1307-26",73,"Abdul Hamed Hamidi","عبدالحامد حمیدی","عبدالحامد حمیدی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1156-37",74,"Mohammad Salim Paigir","محمد سلیم پیگیر ","محمد سلیم پیگیر ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1064-7",75,"Mohammad Sajad Hashimi","محمد سجاد هاشمی ","محمد سجاد هاشمی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1037-117",76,"Eng. Mohmood Haidari","انجنیر محمود حیدری ","انجنیر محمود حیدری ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1048-1159",77,"Nabila Sayedjanzada Hamid","نبیلا سیدجان زاده حمید ","نبیلا سیدجان زاده حمید ","F","حزب انصاف اسلامی ملی افغانستان","Hezb-e Insaf-e Islami Milli Afghanistan","National Fairness Islamic Party of Afghanistan","8","NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1815-140",78,"Khesraw Khalid","خسرو خالد ","خسرو خالد ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1704-56",79,"Alhaj sayed Mohammad Mohammadi","الحاج سید محمد محمدی","الحاج سید محمد محمدی","M","حزب دعوت اسالمی افغانستان","Hezb-e Dawat-e Islami Afghanistan","Afghanistan's Islamic Da’wa Party","9","YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1189-2027",80,"Maari","ماری","ماری","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1688-1168",81,"Gen. Mohammad Aalem Kuhmardi","جنرال محمد عالم کهمردی","جنرال محمد عالم کهمردی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1381-29",82,"Alhaj Tamiz Khan Mahmoodzai","الحاج تمیزخان محمودزی","الحاج تمیزخان محمودزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1790-1042",83,"Haji Rohullah Mujahid","حاجی روح الله مجاهد","حاجی روح الله مجاهد","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1066-102",84,"Tawfiq Wahdat","توفیق وحدت","توفیق وحدت","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","35-1771-158",85,"Gen. Abdul Rashid Sheja","جنرال عبدالرشید شجاع","جنرال عبدالرشید شجاع","M","حزب وحدت اسالمی مردم افغانستان","Hezb-e Wahdat Islami Mardum-e Afghanistan","Islamic Unity Party of Afghanistan","22","NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1183-52",86,"Saleha Sadat","صالحه سعادت","صالحه سعادت","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1876-138",87,"Fazel Menallah Momtaz","فضل من الله ممتاز","فضل من الله ممتاز","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1076-50",88,"haji Sekandar Fraji","حاجی سکندر فراجی","حاجی سکندر فراجی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1023-75",89,"Najibullah Naser","نجیب الله ناصر","نجیب الله ناصر","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","YES",NA,NA,NA,NA,NA,NA
"General","G-01","1-1649-45",90,"Sayed Mohammad Hadi Hadi","سید محمد هادی هادی","سید محمد هادی هادی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1457-96",91,"Kheyali Jaan Sarwan","خیالی جان ساروان ","خیالی جان ساروان ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1239-59",92,"Rahmatullah Salehi","رحمت الله صالحی","رحمت الله صالحی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1526-1023",93,"Zewaruddin Zewar","زیورالدین زیور","زیورالدین زیور","M","د افغانستان د ملی وحدت ولسی تحریک","De Afghanistan de Milli Wahdat Wolesi Tahrik","National Unity and Public Movement Party of Afghanistan","12","NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1470-160",94,"Dr. Aatefa Tayeb","داکترعاطفه طیب ","داکترعاطفه طیب ","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1496-176",95,"Mohammad Ashraf Pirzad","محمد اشرف پیرزاد ","محمد اشرف پیرزاد ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1445-26",96,"Haji Sardar Agha Naseri","حاجی سردار آغا ناصری","حاجی سردار آغا ناصری","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1163-176",97,"Abdul Mansor Rasool","عبدالمنصور رسول","عبدالمنصور رسول","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1017-58",98,"Alhaj Nazifullah Gull Afghan","الحاج نظیف الله گل افغان","الحاج نظیف الله گل افغان","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1008-143",99,"Farida Sahar","فریده سحر","فریده سحر","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1548-197",100,"Mirza Alizadah","میرزا علی زاده","میرزا علی زاده","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1873-152",101,"Abdul Qader Hotkhel","عبدالقادر هوت خیل","عبدالقادر هوت خیل","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1317-101",102,"Bibi Kubra Mustafawi","بی بی کبرا مصطفوی","بی بی کبرا مصطفوی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO","Yes","Yes","Yes",6370973,NA,NA
"General","G-01","1-1426-218",103,"Lft-Gen. Sayed Aman","تورنجنرال سید امان ","تورنجنرال سید امان ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1855-1186",104,"Abdul Mujib Safi Babrak","عبدالمجیب صافی ببرک ","عبدالمجیب صافی ببرک ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1459-121",105,"Khwaja Mahbob Sediqi","خواجه محبوب صدیقی ","خواجه محبوب صدیقی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1443-91",106,"Haji Mohammad Farhad Sediqi","حاجی محمد فرهاد صدیقی","حاجی محمد فرهاد صدیقی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"YES","NO","Yes","Yes","Yes",11011693,NA,NA
"General","G-01","1-1205-3",107,"Ekramuddin Wali","اکرام الدین  ولی","اکرام الدین  ولی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1854-144",108,"Eidi Mohammad Shareqi","عیدی محمد شارقی","عیدی محمد شارقی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1732-171",109,"Habiba Qaderi","حبیبه قادری","حبیبه قادری","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1201-31",110,"Sayed Qutbuddin Roydar","سید قطب الدین رویدار","سید قطب الدین رویدار","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1786-165",111,"Sediqa Popalzai","صدیقه پوپلزی","صدیقه پوپلزی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1512-131",112,"Dr. Wahidullah Ahmadzai","داکتر وحید الله احمدزی ","داکتر وحید الله احمدزی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1611-46",113,"Alhaj Hasibullah Samim","الحاج حسیب الله صمیم","الحاج حسیب الله صمیم","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1602-45",114,"Alhaj Faizullah Hashemi","الحاج فیض الله هاشمی ","الحاج فیض الله هاشمی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1508-103",115,"Ahmad Shekeb Farahi","احمد شکیب فراهی","احمد شکیب فراهی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1756-3040",116,"Reza Khan Aref Mukhles","رضا خان عارف مخلص","رضا خان عارف مخلص","M","حزب اسالمی افغانستان","Hezb-e Islami Afghanistan","Islamic Party of Afghanistan","26","NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1149-80",117,"Salim Khan Kunduzi","سلیم خان کندوزی","سلیم خان کندوزی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1091-1104",118,"Fatema Akbari","فاطمه اکبری","فاطمه اکبری","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1248-120",119,"Qurban Ali Uruzghani","قربان علی ارزگانی ","قربان علی ارزگانی ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1174-19",120,"Hamed Sultani","حامد سلطانی","حامد سلطانی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1213-174",121,"Khatera Isshaqzai","خاطره اسحق زی","خاطره اسحق زی","F","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1040-15",122,"Ramazan Ali Rasooli","رمضان علی رسولی","رمضان علی رسولی","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
"General","G-01","1-1493-1080",123,"Mawalawi Nader Shah Baligh","مولوی نادرشاه  بلیغ","مولوی نادرشاه  بلیغ","M","مستقل / خپلواک","Mustaqil","Independent",NA,"NO","NO",NA,NA,NA,NA,NA,NA
