"province_code","candidate_name_eng","candidate_gender","incumbent","final_votes","prelim_votes","prelim_winner","final_winner"
"01","Sofi Muhammad Sharif Mujahed","Male","No",1733,1725,"No","No"
"01","Sayed Muhammad Gulabzoy","Male","No",1728,1717,"No","No"
"01","Dr. Nimatullah","Male","Yes",1693,1692,"No","No"
"01"," Muhammad Sangeen Tawakalzay","Male","Yes",1668,1668,"No","No"
"01","Alhaj Abdul Satar Mubariz","Male","No",1656,1655,"No","No"
"01"," Noor Agha Mahmoodi","Male","No",1656,1627,"No","No"
"01","Alhaj Muhammad Hassan Hassam","Male","No",1634,1631,"No","No"
"01","Sayed Dawood Hashimi","Male","Yes",1632,1605,"No","No"
"01","Hajji Ramazan Hussain Zada","Male","No",1612,1602,"No","No"
"01","Najeebullah Mujahid","Male","No",1592,1584,"No","No"
"01","Puhanduie Ali Hussain Nadam","Male","No",1587,1471,"No","No"
"01","Muhammad Younus Hutak","Male","No",1584,1580,"No","No"
"01"," Muhammad Nadar Qalandari","Male","No",1568,1560,"No","No"
"01","Hajji Gul Marjan Aka Khil","Male","No",1517,1516,"No","No"
"01","Muhammad Musa Alemi Turkamani","Male","No",1510,1507,"No","No"
"01"," Hajji Yaar Muhammad Fazal","Male","No",1476,1469,"No","No"
"01","Salih Muhammad Registani","Male","No",1459,1427,"No","No"
"01"," Dost Muhammad Omari","Male","No",1449,1443,"No","No"
"01"," Mawlawi Habibullh Hasam","Male","No",1444,1426,"No","No"
"01","Noor Muhammad Salik","Male","No",1442,1348,"No","No"
"01","Ajmal Gulab","Male","No",1413,1409,"No","No"
"01"," Dr. Shafiqullah Faizi","Male","No",1388,1108,"No","No"
"01"," Faridoon Alham Mahmoodi","Male","No",1383,1367,"No","No"
"01","Hayatullah Balaghi","Male","No",1351,1347,"No","No"
"01","Muhammad Irshad Manawi","Male","No",1335,1333,"No","No"
"01"," Ahmad Shah Qarabaghi","Male","No",1334,1307,"No","No"
"01","Ahmad Sayedi","Male","No",1333,1319,"No","No"
"01","Muhammad Tahir Shuaib","Male","No",1313,1313,"No","No"
"01","Ustad Rababa Parwani Darwish","Female","No",1309,1305,"Yes","Yes"
"01","Kazim Yazdani","Male","No",1301,1289,"No","No"
"01","Muhammad Dawood Beyani","Male","No",1281,1228,"No","No"
"01","Eng. Muhammad Khan","Male","No",1270,1331,"No","No"
"01","Ahmad Shekib Haidari","Male","No",1262,1254,"No","No"
"01"," Tahir Zahedi","Male","No",1249,1248,"No","No"
"01","Agha Saeed Sadat","Male","No",1249,1244,"No","No"
"01"," Alhaj Abdul Akar Yosufzai","Male","No",1239,1284,"No","No"
"01"," Muhammad Baqir Rezayee","Male","No",1214,1206,"No","No"
"01","General Nazifa Zaki","Female","No",1210,1188,"Yes","Yes"
"01","Dr. Abdul Hamid Samandari","Male","No",1209,1199,"No","No"
"01","Alhaj Nasratullah Mudaseri","Male","No",1199,1198,"No","No"
"01"," Shah Muhammad Nazari","Male","No",1187,1184,"No","No"
"01"," Izatullah Nasratyar","Male","No",1184,1178,"No","No"
"01","Dr. Abdul Haq","Male","No",1180,1180,"No","No"
"01"," Noor Agha Sahak","Male","No",1169,1159,"No","No"
"01","Ustad Muhammad Qasim Wahedi","Male","No",1159,1151,"No","No"
"01"," Alhaj Eng. Ishaq Ali Jamal","Male","No",1158,1157,"No","No"
"01"," Hajji Shah Wali Hussain Khil","Male","No",1152,1185,"No","No"
"01"," Muhammad Rafiq Masroor Kakar","Male","No",1133,1128,"No","No"
"01"," Janan Musazai","Male","No",1131,1071,"No","No"
"01"," Kubra Mustafawi","Female","No",1129,1123,"Yes","Yes"
"01","Shafiqullah Salim Poya","Male","No",1124,1118,"No","No"
"01","Sayed Dawood Shah Murtazawi","Male","No",1123,1103,"No","No"
"01"," Maulawi Nadar Shah Baleegh","Male","No",1122,1089,"No","No"
"01","Fawzia Nasir Yar Guldarayee","Female","Yes",1119,1100,"Yes","Yes"
"01","Muhammad Hashim Karimi","Male","No",1111,1111,"No","No"
"01"," Robina Jalali","Female","No",1109,1087,"No","No"
"01","Muhammad Alam Amini","Male","No",1099,1099,"No","No"
"01","Malalai Shinwari","Female","Yes",1062,1059,"No","No"
"01","Ghulam Raza Abas Barati","Male","No",1051,1050,"No","No"
"01","Hajji Habibullah Ahmadzai","Male","No",1047,1049,"No","No"
"01"," Ahmad Salangi","Male","No",1046,1038,"No","No"
"01","Hajji Sabir Khan","Male","No",1039,1047,"No","No"
"01","Ustad Abdul Habib Samim","Male","No",1035,1023,"No","No"
"01"," Muhammad Naseer Fayaz","Male","No",1025,1003,"No","No"
"01","Jawad Omid","Male","No",988,970,"No","No"
"01","Rajab Ali Muhtashimi","Male","No",987,987,"No","No"
"01"," Abdul Raza Rezayee","Male","No",979,973,"No","No"
"01"," Dr. Kabir Ranjbar","Male","Yes",977,963,"No","No"
"01"," Qurban Ali Faseehi","Male","No",967,967,"No","No"
"01","Malim Abid","Male","No",958,957,"No","No"
"01","Abdul Wali Baz","Male","No",947,940,"No","No"
"01","Bakht Muhammad Zadran","Male","No",945,972,"No","No"
"01"," Hajji Shalizi Didar","Male","No",942,1195,"No","No"
"01","Ustad Hajji Abas Hassan Zada","Male","No",940,933,"No","No"
"01"," Dr. Ghulam Haidar Jafari","Male","No",938,938,"No","No"
"01"," Amar Samad","Male","No",937,934,"No","No"
"01","Hajji Najeebullah Kabuli","Male","Yes",937,932,"No","No"
"01","Woloswal Barialay","Male","No",936,935,"No","No"
"01"," Alhaj Eng. Abdul Khalil Dawlatzai","Male","No",930,928,"No","No"
"01"," Mina Khashiee","Female","No",929,927,"No","No"
"01","Ahmad Zia Zia","Male","No",924,952,"No","No"
"01"," Nasreen Parsa","Female","No",906,906,"No","No"
"01"," Adila Bahram","Female","No",902,895,"No","No"
"01","Alhaj Abdul Wasa Turkmani","Male","No",901,900,"No","No"
"01","Muhammad Alam Watan Dost","Male","No",893,732,"No","No"
"01"," Fawad Sultani","Male","No",888,886,"No","No"
"01","Muza‐m‐Mil Hutak","Male","No",883,890,"No","No"
"01","Dr. Asghar Khil Mangal","Male","No",875,873,"No","No"
"01"," Imal Samkanai","Male","No",874,871,"No","No"
"01","Rahim‐u‐Din Spin Ghar","Male","No",871,883,"No","No"
"01","Masooma Tusali","Female","No",848,843,"No","No"
"01","Dr. Fazalullah Muja‐ di‐Di","Male","No",846,838,"No","No"
"01"," Sayed Maqbool Omari","Male","No",839,839,"No","No"
"01","Muhammad Haroon Asadi","Male","No",831,821,"No","No"
"01"," Latif Zhuwandai","Male","No",827,843,"No","No"
"01","Eng. Ghulam Muhammad Musafer","Male","No",816,815,"No","No"
"01","Sayed Abdul Muqadam Amin","Male","No",810,800,"No","No"
"01"," Iwaz Khan Dargai","Male","No",800,792,"No","No"
"01","Hajji Khalil","Male","No",796,790,"No","No"
"01","Wakeel Zer Gul Sahak","Male","No",789,786,"No","No"
"01","Hajji Abdul Waheed","Male","No",769,765,"No","No"
"01"," Dr. Anar Kali Hunaryar","Female","No",764,758,"No","No"
"01","Mir Ahmad Joyenda","Male","Yes",762,753,"No","No"
"01"," Saleema Nikbeen Nikzad","Female","No",755,754,"No","No"
"01","Allhaj Ustad Moh. Shoaib Niazi","Male","No",755,755,"No","No"
"01","Geeso Muhammadi Safi","Female","No",740,733,"No","No"
"01"," Muhammad Haneef","Male","No",737,730,"No","No"
"01","Muhammad Faridoon Qeyami","Male","No",736,723,"No","No"
"01"," Dr. Hafiz‐ud‐Din Safi","Male","No",731,724,"No","No"
"01","Barialay Bayat","Male","No",726,720,"No","No"
"01","Muhammad Amin Haleemi","Male","No",711,708,"No","No"
"01","Dr. Muhammad Waizi","Male","No",710,708,"No","No"
"01","Wahidullah Ghazikhil","Male","No",709,709,"No","No"
"01","Puhanmal Raheel Furmuli","Male","No",707,701,"No","No"
"01","Muhammad Dawood Mirzayee","Male","No",700,698,"No","No"
"01","Ahmad Tameem Rahyaab","Male","No",689,673,"No","No"
"01","Puhandoy Dr. Asmatullah Sajad","Male","No",687,682,"No","No"
"01","Alhaj Sayed Abdul Nasir Yaqubi","Male","No",686,684,"No","No"
"01","Alhaj Noorullah Noor","Male","No",680,664,"No","No"
"01"," Muhammad Sadiq Nawabi","Male","No",674,672,"No","No"
"01"," Muhammad Rustam Faqirzada","Male","No",674,673,"No","No"
"01"," Rohullah Murad","Male","No",668,642,"No","No"
"01"," Muhammad Haroon Mir","Male","No",667,648,"No","No"
"01"," Alhaj Janat Khan Fahim Chakari","Male","No",661,690,"No","No"
"01"," Sultan Ali Murtaza Nikzad","Male","No",660,657,"No","No"
"01","Muhammad Saboor Furmuli","Male","No",658,652,"No","No"
"01"," Eng. Muhammad Baqir","Male","No",640,640,"No","No"
"01","Hajji Parwiz Arab Zada","Male","No",638,637,"No","No"
"01","Eng. Nimatullah","Male","No",638,636,"No","No"
"01","Ahmad Javid Jaihoon A.K.A Lala Javid","Male","No",637,611,"No","No"
"01","Eng. Muhammad Sharif Shaheem","Male","No",635,634,"No","No"
"01","General Abdul Wahid Taqat","Male","No",633,623,"No","No"
"01","General Sikandar Asghari","Male","No",633,633,"No","No"
"01"," Shirullah Jabarkhil","Male","No",632,628,"No","No"
"01"," Wakeel Ghulam Raza Ahmadi","Male","No",625,616,"No","No"
"01","Naseem GulTutakhil","Male","No",623,621,"No","No"
"01","Dr. Sadr‐ud‐Din Fakhri","Male","No",621,608,"No","No"
"01","Muhammad Zia Yari","Male","No",618,616,"No","No"
"01","Nazar Muhammad Popal","Male","No",616,614,"No","No"
"01","Mirwais Rahimi","Male","No",611,610,"No","No"
"01","Muhammad Musa Noori","Male","No",610,603,"No","No"
"01","Alhaj Eng. Muhammad Haneef","Male","No",609,602,"No","No"
"01","Hajji Faiz Muhammad Mussazai","Male","No",608,607,"No","No"
"01","Hajji Aminullah Wijdan","Male","No",599,596,"No","No"
"01"," Puhialay Alhaj Sayed Abdul Habib Hashimi","Male","No",597,594,"No","No"
"01","Hajji Mir  Muhammad Qahir Sadat","Male","No",596,590,"No","No"
"01","Doctor Qayoum","Male","No",593,587,"No","No"
"01","Ahmad Farid Rasikh","Male","No",593,591,"No","No"
"01"," Hamid Shah Babakarkhil","Male","No",589,586,"No","No"
"01"," Raz‐ud‐Din","Male","No",583,583,"No","No"
"01"," Molawi Fazal Karim Saraji","Male","No",582,578,"No","No"
"01"," Fida Muhammad Oriakhil","Male","No",578,553,"No","No"
"01","Muhammad Dawood Akbar Nejrabi","Male","No",570,570,"No","No"
"01","Hajji Muhammad Amir Bazil","Male","No",568,568,"No","No"
"01"," Sultan Ali Payman","Male","No",564,564,"No","No"
"01","Qudria Yazdan Parast","Female","Yes",557,554,"No","No"
"01","Alhaj Abdul Saboor Hashimi","Male","No",552,551,"No","No"
"01","Mir Nasratullah Shams","Male","No",545,542,"No","No"
"01"," Nasir Ahmad Mahmoodi","Male","No",543,541,"No","No"
"01","Muhammad Dawood Yosufzai","Male","No",541,530,"No","No"
"01","Dr. Muhammad Nasir Muhaqiq","Male","Yes",539,539,"No","No"
"01"," Ahmad Farid Mahrabi","Male","No",529,527,"No","No"
"01"," Abd‐ur‐ Rasheed","Male","No",523,510,"No","No"
"01"," Wasi Farman","Male","No",520,520,"No","No"
"01"," Eng. Shir Ahmad Shahi","Male","No",517,515,"No","No"
"01","Azizullah Azizi","Male","No",511,509,"No","No"
"01","Muhammad Suliman Kakar","Male","No",503,494,"No","No"
"01"," Ziaulhaq Tarakhil","Male","No",502,501,"No","No"
"01","Muhammad Zarif Nasiri A.K.A Mama","Male","No",502,500,"No","No"
"01","Sayed Essa Hussaini Mazari","Male","No",499,493,"No","No"
"01","Sayed Jamal Taheri","Male","No",498,492,"No","No"
"01"," Alhaj Abdul Samad Hutak","Male","No",491,490,"No","No"
"01"," Ustad Musa Farior","Male","No",488,481,"No","No"
"01"," Rana Nooristani","Female","No",488,481,"No","No"
"01","Enayatullah Hafiz","Male","No",484,483,"No","No"
"01"," Mushtaq Kabir","Male","No",484,484,"No","No"
"01","Ahmad Parwiz Faizi","Male","No",483,482,"No","No"
"01","Abdul Hay Rahimi","Male","No",481,480,"No","No"
"01","Fahim Kohdamani","Male","No",479,476,"No","No"
"01","Sayed Shir Aqa Rohani","Male","No",474,464,"No","No"
"01","Dr. Murtaza Kaiwan Basharmal","Male","No",472,469,"No","No"
"01","Sayed Rawoof Rawoof","Male","No",471,461,"No","No"
"01","Dr. Rahila Kawir","Female","No",469,460,"No","No"
"01","Wakeel Ahmad Hussain Ikhteyar","Male","No",464,463,"No","No"
"01","Muhammad Ibrahim Rasooli","Male","No",463,459,"No","No"
"01","Muhammad Hussain Momin Zada","Male","No",461,458,"No","No"
"01"," Khadim Hussain Karimi","Male","No",456,436,"No","No"
"01"," Hajji Sakhidad Ghafil","Male","No",456,456,"No","No"
"01","Hajji Roz‐ud‐Din","Male","No",449,464,"No","No"
"01"," Hajji Muhammad Azimullah","Male","No",448,448,"No","No"
"01","Noor Ali Omarkhil","Male","No",446,443,"No","No"
"01","Yaqub Shah Areenpoor","Male","No",437,432,"No","No"
"01","Alhaj Wali  Muhammad Gulbahari","Male","No",431,422,"No","No"
"01"," Muhammad Farid Kohistani","Male","No",430,424,"No","No"
"01"," Masooma Muhammadi","Female","No",427,427,"No","No"
"01"," Eng. Ahmad Shah Khusrawee","Male","No",426,426,"No","No"
"01","Saranwal  Muhammad Ismail Babakarkhail","Male","No",422,410,"No","No"
"01","Alhaj Muhammad Hussain Chela Bagh","Male","No",421,415,"No","No"
"01","Hajji Abdul Masood Satari","Male","No",415,412,"No","No"
"01"," Dr. Zia Baturai","Female","No",413,413,"No","No"
"01","Eng. Ghulam Ali Munir","Male","No",412,411,"No","No"
"01"," Muhammad Jawad Bazil","Male","No",411,411,"No","No"
"01","Muhammad Ibrahim Barai","Male","No",407,399,"No","No"
"01","Hajji Abdul Fatah A.K.A Hajji Jan","Male","No",406,403,"No","No"
"01","Malik Amanullah Babakarkhil","Male","No",406,409,"No","No"
"01"," Yousuf Ali Zaki","Male","No",401,398,"No","No"
"01","Hajji Muhammad Hamayoon","Male","No",395,389,"No","No"
"01","Abdullah Afzali","Male","No",395,388,"No","No"
"01","Sayed Naiem Sadat","Male","No",390,390,"No","No"
"01"," Hamid Khan Mumiez","Male","No",389,387,"No","No"
"01","Sayed Muhammad Farhad Hashimi","Male","No",385,376,"No","No"
"01"," Amanullah Qati","Male","No",384,384,"No","No"
"01","Ahmad Sameer Mayel","Male","No",381,373,"No","No"
"01"," Dr. Almas Bawar Zakhilwal","Male","No",374,374,"No","No"
"01","Eng. Abdul Jamil","Male","No",372,369,"No","No"
"01","Alhaj Ghulam Muhammad Faiez","Male","No",367,363,"No","No"
"01","Alhaj Habibullah Amarkhil Janabdar","Male","No",367,366,"No","No"
"01","Dawood Maliar Muhai‐ud‐Din","Male","No",364,365,"No","No"
"01","Hajji Zia‐ul‐Haq","Male","No",359,462,"No","No"
"01"," Hadi Poyan","Male","No",358,358,"No","No"
"01","Ismail Safdari","Male","Yes",357,356,"No","No"
"01","Qismat Khan","Male","No",356,356,"No","No"
"01"," Shamsullah Javid","Male","No",355,343,"No","No"
"01","Hajji Asadullah Qarabaghi","Male","No",353,335,"No","No"
"01","Muhammad Ali A.K.A Hajji Elham","Male","No",351,350,"No","No"
"01","Eng. Razia Naemi","Female","No",349,338,"No","No"
"01"," Abdul Hameed Islampor","Male","No",347,341,"No","No"
"01"," Muhammad Ihsan Yosufzai","Male","No",344,344,"No","No"
"01","Suhaila Ansari","Female","No",344,340,"No","No"
"01","Dr. Farid khalid","Male","No",344,300,"No","No"
"01","Abdul Mateen Muhammad Khil","Male","No",344,343,"No","No"
"01","Dr. Ashuqullah Yaqubi","Male","No",343,540,"No","No"
"01","Mawlana Muhammad Aslam","Male","No",342,342,"No","No"
"01","Dr. Zohra Karimi Turkmani","Female","No",342,342,"No","No"
"01","Muhammad Ibrahim Karimi","Male","No",342,341,"No","No"
"01"," Kabul Khan Tadbeer Zurmati","Male","No",339,339,"No","No"
"01","Hajji Obaidullah Rahmani","Male","No",338,338,"No","No"
"01","Muhammad Zahir Abasi","Male","No",337,337,"No","No"
"01","Maulawi  Muhammad Aziz Muhammadi","Male","No",334,331,"No","No"
"01"," Sayed Sharif Hashimi","Male","No",332,332,"No","No"
"01","Khalida Alokozai","Female","No",331,322,"No","No"
"01","Hajji Shireen Agha Rahmani","Male","No",330,328,"No","No"
"01","Saranwal Muhammad Shakir Baryal","Male","No",330,328,"No","No"
"01"," Rahmatullah Sharif Zada","Male","No",327,325,"No","No"
"01","Malalai Ishaqzai","Female","No",326,326,"No","No"
"01","Hajji Muhammad Aslam Shewa","Male","No",323,321,"No","No"
"01"," Maulawi Baba Jan Seghani","Male","No",320,314,"No","No"
"01"," Muhammad Dawood Aman Haidari","Male","No",320,315,"No","No"
"01","Mir Ghulam Jailani Agha","Male","No",320,319,"No","No"
"01","Akhgar Shams","Male","No",319,318,"No","No"
"01","Alhaj Muhammad Osman Najeeb","Male","No",314,310,"No","No"
"01","Sina Rahmani","Female","No",313,312,"No","No"
"01","General Sayed Ismail Qibadi","Male","No",313,288,"No","No"
"01"," Hajji Abdul Hakim Abdulrahemzai","Male","No",311,311,"No","No"
"01"," Abdul Ali Saeed","Male","No",311,311,"No","No"
"01","Salih Muhammad Zamani","Male","No",310,292,"No","No"
"01","Eng. Chaman Shah Ahmadi","Male","No",307,305,"No","No"
"01","Dr. Sarfaraz Safi","Male","No",307,307,"No","No"
"01","Gul Shireen Beg","Female","No",306,297,"No","No"
"01"," Bibi Hajji Zarifa Hasas Nasiri","Female","No",304,303,"No","No"
"01"," Muhammad Dawood Jalali","Male","No",301,302,"No","No"
"01"," Muhammad Naiem Khawry","Male","No",300,218,"No","No"
"01","Muhammad Afzal Habib Safi","Male","No",299,297,"No","No"
"01","Eng. Abdul Wakeel Sadaat","Male","No",299,295,"No","No"
"01","Jan Gul Kargar","Male","No",298,289,"No","No"
"01","Mir Ahmad Niazmand","Male","No",297,295,"No","No"
"01","Sayed Abdul Karim Hashimi","Male","No",297,293,"No","No"
"01","Sayed Muhammad Alawi","Male","No",296,294,"No","No"
"01","Eng. Mahmood Kalakani","Male","No",295,295,"No","No"
"01","Noor Ahmad Chardhiwal","Male","No",294,288,"No","No"
"01","Ahmad Zaki A.K.A Shah Agha","Male","No",292,250,"No","No"
"01","Ahmad Gul Khan","Male","No",291,357,"No","No"
"01","Alhaj Mir Abdul Ghafoor Mawdoodi","Male","No",290,287,"No","No"
"01"," Alhaj Fazal Ahmad Sabat","Male","No",285,285,"No","No"
"01","Eng. Muhammad Dawood Tughyan","Male","No",284,280,"No","No"
"01","Muhammad Ahrar","Male","No",281,278,"No","No"
"01","Muhammad Asif Barnayar","Male","No",281,280,"No","No"
"01"," Ali Asghar Hakimi","Male","No",281,275,"No","No"
"01"," Khalil Ruman","Male","No",280,277,"No","No"
"01"," Abdul Wahid Mujahid","Male","No",280,280,"No","No"
"01","Hajji Muhammad Haneef Yosufzai","Male","No",280,279,"No","No"
"01","Dr. Shukria Serat Wali Zada","Female","No",279,278,"No","No"
"01"," Abdullah Mirzad","Male","No",279,271,"No","No"
"01"," Fatima Naziri","Female","Yes",279,277,"No","No"
"01"," Kamdar Hutak","Male","No",278,274,"No","No"
"01","Dagarwal Nik Muhammad Abbasi","Male","No",278,276,"No","No"
"01"," Dr. Muhammad Jawad Ahmadi","Male","No",277,277,"No","No"
"01","Malika Sadat","Female","No",274,272,"No","No"
"01","Alhaj Malik Taaj Muhammad","Male","No",274,272,"No","No"
"01","Master of Sport Ustad Khuwaja Farid","Male","No",271,270,"No","No"
"01","Diploma Eng. Abdul Wakeel Azizi","Male","No",270,268,"No","No"
"01","Sayed Yaqoob Hushmand Fararudi","Male","No",270,268,"No","No"
"01","Muhammad Bashir  Nasih A.N.A Eng. Sardar","Male","No",268,257,"No","No"
"01","Muhammad Sadiq  A.K.A Malim Qand gha","Male","No",266,266,"No","No"
"01","Sayed Muhammad Anwar Hashimi","Male","No",266,265,"No","No"
"01","Hajji Eng. Muhammad Zia Tahiri","Male","No",263,263,"No","No"
"01","Muhammad Ibrahim Babah","Male","No",262,261,"No","No"
"01","Shahla Atta","Female","Yes",258,257,"No","No"
"01"," Muhammad Sabir","Male","No",258,258,"No","No"
"01","Rahmatullah Suliman Khil","Male","No",258,257,"No","No"
"01"," Rabia Lami","Female","No",258,255,"No","No"
"01"," Sadar","Male","No",257,255,"No","No"
"01"," Alhaj Dr. Sayed Raza Elham","Male","No",255,252,"No","No"
"01","Fariba Charkhi","Female","No",253,252,"No","No"
"01","Alhaj Dr. Najeebullah Babakar Khill","Male","No",252,252,"No","No"
"01","Sayed Nasir Aqil","Male","No",248,245,"No","No"
"01","Dr. Muhammad Zahir Najaf Zada","Male","No",244,244,"No","No"
"01","Muhammad Dawood Barikzai Zarba","Male","No",243,241,"No","No"
"01","Master Engineer Abdul Qadir Sofi Zada","Male","No",241,241,"No","No"
"01","Ahmad Fayaz Qalandari","Male","No",240,227,"No","No"
"01","Muhammad Yosuf Amin Zazai","Male","No",238,237,"No","No"
"01"," Sayed Karim Agha","Male","No",237,237,"No","No"
"01","Ustad Sayed Yosuf Qadis","Male","No",236,233,"No","No"
"01"," Muhammad Yosuf Nooristani","Male","No",235,230,"No","No"
"01","Muhammad Jafar Kuhistani","Male","No",235,233,"No","No"
"01","Dr. Muhammad Akram Khpalwak","Male","No",235,231,"No","No"
"01"," Ahmad Shahpoor Ahmadi","Male","No",234,233,"No","No"
"01","Mudeer Muhammad  Zahir Malistani","Male","No",234,232,"No","No"
"01","Alhaj Muhammad  Sabir Hamdullah Ahmadzai","Male","No",234,257,"No","No"
"01","Alhaj Ghulam Rabani Nashir","Male","No",231,229,"No","No"
"01"," Alhaj Khadim Hussain Khuda Yar","Male","No",231,231,"No","No"
"01"," Ustad Sayed Ahmad Saeed","Male","No",228,228,"No","No"
"01","Khawani Amiri  Graduated from Law Faculty","Male","No",227,227,"No","No"
"01","Hajji Janat Gul Hussainkhil","Male","No",227,226,"No","No"
"01","Abdul Fatah Mahraban","Male","No",227,225,"No","No"
"01"," Sayed Qadem Sadat","Male","No",224,223,"No","No"
"01","Noor Wali Yaqubi","Male","No",223,221,"No","No"
"01","Qari Yar Muhammad Maihan Parast","Male","No",223,201,"No","No"
"01"," Jawad Neyosh","Male","No",223,223,"No","No"
"01"," Muhammad Rafi","Male","No",221,217,"No","No"
"01","Najeebullah Intizar Kuhdamani","Male","No",221,221,"No","No"
"01","Maulawi  Muhammad Mukhtar Muflih","Male","No",218,213,"No","No"
"01","Shaima Sekandari","Female","No",215,215,"No","No"
"01","Nadia Rasooli","Female","No",209,200,"No","No"
"01"," Jamila Mujahid","Female","No",207,207,"No","No"
"01","Huma Muhammadi","Female","No",207,205,"No","No"
"01","Babrak Shirzad","Male","No",206,205,"No","No"
"01","Hajji Dr. Muhammad Zaman Bahlol","Male","No",204,204,"No","No"
"01"," Muhammad Numaan Shinwari","Male","No",204,203,"No","No"
"01"," Fawzia Sadat Samkanai","Female","No",199,195,"No","No"
