"electorate","constituency_code","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","preliminary_winner","candidate_gender","party_name_dari","party_eng_transliterated","party_eng_translated","registered_party_number","past_winners","prelim_winner_2010","final_winner_2010","past_winners_matched_to_2010_codes","final_winner_2005","past_winners_matched_to_2005_codes"
"General","G-01","1-1482-148",38,"Eng. Mohammad Dawood Yousufzai","انجنیر محمد داود یوسفزی","انجنیر محمد داود یوسفزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1716-150",39,"Rahela Jafari","راحله جعفری ","راحله جعفری ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1407-113",40,"Abida Homa Azizi","عابده هما عزیزی","عابده هما عزیزی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1645-1024",41,"Dr. Mohammadullah Shahidi","داکتر محمد الله شهیدی","داکتر محمد الله شهیدی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1454-123",42,"Ahmad Behzad","احمد بهزاد ","احمد بهزاد ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,"Yes","Yes","Yes",3581333,"Yes","24-31-0005"
"General","G-01","1-1458-117",43,"Abdul Qadir Sadeqyar","عبد القدیر صادقیار","عبد القدیر صادقیار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1388-1192",44,"Mariam Maroof Arwin","مریم معروف آروین ","مریم معروف آروین ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1188-22",45,"Alhaj Amirgull Shahin","الحاج امیرگل شاهین ","الحاج امیرگل شاهین ","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1595-90",46,"Haji Homayoun Bahar","حاجی همایون بهار","حاجی همایون بهار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1161-126",47,"Muzamel Shinwari","مزمل شینواری","مزمل شینواری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1538-13",48,"Frozan Dawoodzai","فروزان داوودزی","فروزان داوودزی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1073-8",49,"Alhaj Mohammad Qasim Jangalbagh","الحاج محمد قسیم جنگل باغ","الحاج محمد قسیم جنگل باغ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1555-33",50,"Abdul Rahim Ayoubi","عبدالرحیم ایوبی","عبدالرحیم ایوبی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,"Yes","Yes","Yes",4556370,NA,NA
"General","G-01","1-1234-1",51,"Sayed Bahram Sadat","سید بهرام سادات","سید بهرام سادات","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1524-2026",52,"Mohammad Dawood Naji","محمد داود ناجی","محمد داود ناجی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1438-254",53,"Gen. Abdul Wahed Taqat","جنرال عبدالواحد طاقت","جنرال عبدالواحد طاقت","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1710-163",54,"Abdul Basir Khalili Yousufzai","عبدالبصیر خلیلی یوسفزی","عبدالبصیر خلیلی یوسفزی","NO","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1310-37",55,"Mohammad Lais Andar","محمدلیث اندړ","محمدلیث اندړ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1896-158",56,"Mohammad Shoaib Iqbal Zazai","محمد شعیب اقبال ځاځی","محمد شعیب اقبال ځاځی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1050-42",57,"Nasrullah Mesbah","نصرالله مصباح","نصرالله مصباح","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1270-20",58,"Mohammad Anwar Allah Daad","محمد انور الله داد ","محمد انور الله داد ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1276-40",59,"Alhaj Qudratullah Sahak","الحاج قدرت الله سهاک","الحاج قدرت الله سهاک","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1648-1078",60,"Salman Ali Dostzadah","سلمان علی دوست زاده","سلمان علی دوست زاده","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1567-23",61,"Mohammad Layeq Malekzadah","محمد لایق ملک زاده","محمد لایق ملک زاده","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1225-123",62,"Ziaullhaq Shafiq","ضیأالحق شفیق","ضیأالحق شفیق","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1719-1162",63,"Enjila Bafaiz","انجیلا با فیض ","انجیلا با فیض ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1336-22",64,"Ghullam Habib Fawad","غلام حبیب فواد","غلام حبیب فواد","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1789-142",65,"Dr. Moen Gull Samkanai","دوکتور معین گل څمکنی","دوکتور معین گل څمکنی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1838-192",66,"Mohammad Hassan Mamozai","محمد حسن مموزی","محمد حسن مموزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,"Yes","Yes","Yes",7767635,NA,NA
"General","G-01","1-1799-160",67,"Abdul Wahed Khan Nasratyar","عبدالواحد خان نصرتیار","عبدالواحد خان نصرتیار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1566-58",68,"Mohammad Yar Stanikzai","محمد یار ستانکزی ","محمد یار ستانکزی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1480-52",69,"Alhaj Farid Khan Zurmati","الحاج فرید خان زرمتی","الحاج فرید خان زرمتی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1339-28",70,"Deplom Eng. Ghullam Ali","دیپلوم انجنیرغلام علی","دیپلوم انجنیرغلام علی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1300-41",71,"Sayed Burhan Sayed Jamal Taheri","سید برهان سید جمال طاهری","سید برهان سید جمال طاهری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1275-46",72,"Abdul Basir Nabizadah","عبدالبصیر نبی زاده ","عبدالبصیر نبی زاده ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1307-26",73,"Abdul Hamed Hamidi","عبدالحامد حمیدی","عبدالحامد حمیدی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1156-37",74,"Mohammad Salim Paigir","محمد سلیم پیگیر ","محمد سلیم پیگیر ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1064-7",75,"Mohammad Sajad Hashimi","محمد سجاد هاشمی ","محمد سجاد هاشمی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1037-117",76,"Eng. Mohmood Haidari","انجنیر محمود حیدری ","انجنیر محمود حیدری ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1048-1159",77,"Nabila Sayedjanzada Hamid","نبیلا سیدجان زاده حمید ","نبیلا سیدجان زاده حمید ","NO","F","حزب انصاف اسلامی ملی افغانستان","Hezb-e Insaf-e Islami Milli Afghanistan","National Fairness Islamic Party of Afghanistan","8",NA,NA,NA,NA,NA,NA
"General","G-01","1-1815-140",78,"Khesraw Khalid","خسرو خالد ","خسرو خالد ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1704-56",79,"Alhaj sayed Mohammad Mohammadi","الحاج سید محمد محمدی","الحاج سید محمد محمدی","YES","M","حزب دعوت اسالمی افغانستان","Hezb-e Dawat-e Islami Afghanistan","Afghanistan's Islamic Da’wa Party","9",NA,NA,NA,NA,NA,NA
"General","G-01","1-1189-2027",80,"Maari","ماری","ماری","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1688-1168",81,"Gen. Mohammad Aalem Kuhmardi","جنرال محمد عالم کهمردی","جنرال محمد عالم کهمردی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1381-29",82,"Alhaj Tamiz Khan Mahmoodzai","الحاج تمیزخان محمودزی","الحاج تمیزخان محمودزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1790-1042",83,"Haji Rohullah Mujahid","حاجی روح الله مجاهد","حاجی روح الله مجاهد","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1066-102",84,"Tawfiq Wahdat","توفیق وحدت","توفیق وحدت","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","35-1771-158",85,"Gen. Abdul Rashid Sheja","جنرال عبدالرشید شجاع","جنرال عبدالرشید شجاع","NO","M","حزب وحدت اسالمی مردم افغانستان","Hezb-e Wahdat Islami Mardum-e Afghanistan","Islamic Unity Party of Afghanistan","22",NA,NA,NA,NA,NA,NA
"General","G-01","1-1183-52",86,"Saleha Sadat","صالحه سعادت","صالحه سعادت","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1876-138",87,"Fazel Menallah Momtaz","فضل من الله ممتاز","فضل من الله ممتاز","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1076-50",88,"haji Sekandar Fraji","حاجی سکندر فراجی","حاجی سکندر فراجی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1023-75",89,"Najibullah Naser","نجیب الله ناصر","نجیب الله ناصر","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1649-45",90,"Sayed Mohammad Hadi Hadi","سید محمد هادی هادی","سید محمد هادی هادی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1457-96",91,"Kheyali Jaan Sarwan","خیالی جان ساروان ","خیالی جان ساروان ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1239-59",92,"Rahmatullah Salehi","رحمت الله صالحی","رحمت الله صالحی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1526-1023",93,"Zewaruddin Zewar","زیورالدین زیور","زیورالدین زیور","NO","M","د افغانستان د ملی وحدت ولسی تحریک","De Afghanistan de Milli Wahdat Wolesi Tahrik","National Unity and Public Movement Party of Afghanistan","12",NA,NA,NA,NA,NA,NA
"General","G-01","1-1470-160",94,"Dr. Aatefa Tayeb","داکترعاطفه طیب ","داکترعاطفه طیب ","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1496-176",95,"Mohammad Ashraf Pirzad","محمد اشرف پیرزاد ","محمد اشرف پیرزاد ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1445-26",96,"Haji Sardar Agha Naseri","حاجی سردار آغا ناصری","حاجی سردار آغا ناصری","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1163-176",97,"Abdul Mansor Rasool","عبدالمنصور رسول","عبدالمنصور رسول","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1017-58",98,"Alhaj Nazifullah Gull Afghan","الحاج نظیف الله گل افغان","الحاج نظیف الله گل افغان","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1008-143",99,"Farida Sahar","فریده سحر","فریده سحر","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1548-197",100,"Mirza Alizadah","میرزا علی زاده","میرزا علی زاده","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1873-152",101,"Abdul Qader Hotkhel","عبدالقادر هوت خیل","عبدالقادر هوت خیل","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1317-101",102,"Bibi Kubra Mustafawi","بی بی کبرا مصطفوی","بی بی کبرا مصطفوی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,"Yes","Yes","Yes",6370973,NA,NA
"General","G-01","1-1426-218",103,"Lft-Gen. Sayed Aman","تورنجنرال سید امان ","تورنجنرال سید امان ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1855-1186",104,"Abdul Mujib Safi Babrak","عبدالمجیب صافی ببرک ","عبدالمجیب صافی ببرک ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1459-121",105,"Khwaja Mahbob Sediqi","خواجه محبوب صدیقی ","خواجه محبوب صدیقی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1443-91",106,"Haji Mohammad Farhad Sediqi","حاجی محمد فرهاد صدیقی","حاجی محمد فرهاد صدیقی","YES","M","مستقل / خپلواک","Mustaqil","Independent",NA,"Yes","Yes","Yes",11011693,NA,NA
"General","G-01","1-1205-3",107,"Ekramuddin Wali","اکرام الدین  ولی","اکرام الدین  ولی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1854-144",108,"Eidi Mohammad Shareqi","عیدی محمد شارقی","عیدی محمد شارقی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1732-171",109,"Habiba Qaderi","حبیبه قادری","حبیبه قادری","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1201-31",110,"Sayed Qutbuddin Roydar","سید قطب الدین رویدار","سید قطب الدین رویدار","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1786-165",111,"Sediqa Popalzai","صدیقه پوپلزی","صدیقه پوپلزی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1512-131",112,"Dr. Wahidullah Ahmadzai","داکتر وحید الله احمدزی ","داکتر وحید الله احمدزی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1611-46",113,"Alhaj Hasibullah Samim","الحاج حسیب الله صمیم","الحاج حسیب الله صمیم","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1602-45",114,"Alhaj Faizullah Hashemi","الحاج فیض الله هاشمی ","الحاج فیض الله هاشمی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1508-103",115,"Ahmad Shekeb Farahi","احمد شکیب فراهی","احمد شکیب فراهی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1756-3040",116,"Reza Khan Aref Mukhles","رضا خان عارف مخلص","رضا خان عارف مخلص","NO","M","حزب اسالمی افغانستان","Hezb-e Islami Afghanistan","Islamic Party of Afghanistan","26",NA,NA,NA,NA,NA,NA
"General","G-01","1-1149-80",117,"Salim Khan Kunduzi","سلیم خان کندوزی","سلیم خان کندوزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1091-1104",118,"Fatema Akbari","فاطمه اکبری","فاطمه اکبری","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1248-120",119,"Qurban Ali Uruzghani","قربان علی ارزگانی ","قربان علی ارزگانی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1174-19",120,"Hamed Sultani","حامد سلطانی","حامد سلطانی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1213-174",121,"Khatera Isshaqzai","خاطره اسحق زی","خاطره اسحق زی","NO","F","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1040-15",122,"Ramazan Ali Rasooli","رمضان علی رسولی","رمضان علی رسولی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1493-1080",123,"Mawalawi Nader Shah Baligh","مولوی نادرشاه  بلیغ","مولوی نادرشاه  بلیغ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1155-102",124,"Kalimullah Hamsukhan","کلیم الله هم سخن ","کلیم الله هم سخن ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-2009-1107",125,"Phd. Mohammad Dawood Rawosh","پوهاند محمد داود راوش ","پوهاند محمد داود راوش ","NO","M","حزب ملی ترقی مردم افغانستان","Hezb-e Milli Taraqi Mardum-e Afghanistan","National Party of Afghan's Development","57",NA,NA,NA,NA,NA,NA
"General","G-01","1-1043-94",126,"Mohammad Nabi Baraki","محمد نبی بره کی ","محمد نبی بره کی ","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
"General","G-01","1-1481-144",127,"Dr. Abdul Satar Stanikzai","داکتر عبدالستار ستانکزی","داکتر عبدالستار ستانکزی","NO","M","مستقل / خپلواک","Mustaqil","Independent",NA,NA,NA,NA,NA,NA,NA
